"case","school","grade","female","ageyr","mo","agemo","t01_visperc","t02_cubes","t03_frmbord","t04_lozenges","t05_geninfo","t06_paracomp","t07_sentcomp","t08_wordclas","t09_wordmean","t10_addition","t11_code","t12_countdot","t13_sccaps","t14_wordrecg","t15_numbrecg","t16_figrrecg","t17_objnumb","t18_numbfig","t19_figword","t20_deduction","t21_numbpuzz","t22_probreas","t23_series","t24_woody","t25_frmbord2","t26_flags"
266,"Grant-White",7,2,13,7,163,4,6.75,4.8,1.625,1.4545,1.6667,1.5,2.4,0.5714,4.3913,4.6429,5.3,4.7778,6.0909,4.4286,5.8571,2.5,2,2.25,0.3333,1.75,1.3333,0.2222,4.75,5.3333,4
267,"Grant-White",7,1,13,2,158,3.2857,5,6.4,2.25,2.6364,2,3,5,0.8571,1.8696,4,5,4.0278,3.7273,1.4286,5.5714,2.5,0.75,2,0.5,1,1.2222,0.5556,3.25,4.3333,3.625
268,"Grant-White",7,2,14,0,168,1.5714,5,6,1.125,3.5455,4.3333,4,4.4,2.1429,3.1739,5.7857,3.65,3.6111,6.9091,4.1429,6.7143,0.75,1.75,3.5,0.1667,1.75,1.5556,0.5556,4,3.6667,3.5
269,"Grant-White",7,2,12,11,155,6.4286,9.25,6.4,3.625,2.9091,3.3333,4,6,2.2857,3.1739,4.9286,5.05,6.1111,6.1818,3,8.1429,1,3.25,4.75,3.8889,3.75,3.4444,3.8889,6.25,7.3333,4.625
270,"Grant-White",7,2,13,0,156,2.7143,3.75,4.8,0.875,3.9091,5,4.75,5.2,2.7143,4.3913,5.4286,5.6,3.2222,6.7273,3,5.1429,2,2,4.25,1.8333,3.5,2.3333,2,7,4.6667,2.375
271,"Grant-White",7,2,12,8,152,5.8571,5.25,4,1.375,3.7273,3,4,5.6,2,5.3913,6.7857,5.95,6.1111,6.8182,2.8571,6.7143,2.25,2.75,4.75,0.5,3.5,4.2222,2.6667,7.75,5,4.5
272,"Grant-White",7,1,12,3,147,5,7.5,6.4,4.125,4.4545,2.6667,3.75,5.8,1.7143,3.913,4.5714,6.3,6.7222,5.8182,4.1429,5.2857,1.5,3.5,3.5,3.7778,4.5,3,3.6667,5.25,5.6667,5.25
273,"Grant-White",7,2,12,0,144,4.8571,6,8.4,2,4.1818,3,3.5,4.8,1.4286,3.8696,7,5.8,6.5556,5.5455,4.7143,7,1.75,2.5,3.25,-0.6667,5,2.8889,1.2222,7.75,4.3333,5.125
274,"Grant-White",7,1,13,2,158,2.7143,5.5,6,1.5,3.5455,3.3333,4,5.2,2.4286,5.1304,8.0714,5.8,7,6.1818,3.2857,5.2857,2.5,2.75,4.25,0.6667,3.75,2.3333,1.2222,5.75,4,2.375
275,"Grant-White",7,1,12,7,151,3.5714,5.25,5.2,1.875,3.6364,2.6667,4.25,5,2.4286,2.9565,3,4.1,4.7222,3.1818,2.1429,5.5714,0.75,4.25,4,0.7222,1.75,1.7778,0.5556,5.25,5.6667,5
276,"Grant-White",7,1,11,4,136,5.1429,7,7.6,4.125,5.5455,5,6,7.2,5.5714,3.5217,5,5.2,5.8333,6.1818,4.7143,5.8571,2.75,1.25,4.75,3.1667,5,4.7778,3.5556,7.25,6.3333,6
277,"Grant-White",7,2,14,0,156,2.7143,5.75,4,0.75,2.8182,2.3333,3.25,3.8,2.7143,2.9565,4,4.85,4.1389,5.8182,4.4286,5.7143,0.25,0.25,2.25,-0.1667,1.75,2.3333,0.1111,5,3.6667,3.125
278,"Grant-White",7,2,12,9,153,3.8571,5.25,4.8,0.875,3.0909,3,4.75,5.4,3.1429,3.8261,4.4286,5.45,5.3056,5.5455,4.7143,5.7143,1,0.5,3.75,1.8333,2,3.3333,2.5556,5,4.6667,3
279,"Grant-White",7,2,12,5,149,3,2.25,5.2,1.75,3,5,6.25,6.4,4.2857,2.9565,4.5714,4.55,5.0278,6.1818,4.5714,6.2857,3,1.25,4.25,2.3889,3,3.4444,2.1111,6.75,4.6667,5.75
280,"Grant-White",7,1,12,9,153,3.8571,5.5,4.4,4,3.1818,2.6667,3.25,5.2,1.8571,2.4348,4,3.75,4.9167,5.5455,2.5714,7.2857,0.75,2.75,4.5,-0.6667,3.5,3.1111,2.1111,5.25,5.3333,5.25
281,"Grant-White",7,2,12,7,151,3.7143,5.5,4.8,1,3.9091,1.6667,2.75,5.6,1.5714,3.3043,3.6429,5.7,4.3333,5.5455,2.7143,6.1429,1.25,1.75,4.5,1.8333,2.5,3,2.6667,5.5,5.6667,3.375
282,"Grant-White",8,1,14,2,170,2.8571,6.75,7.2,1.875,3.7273,3,4.75,5.6,1.5714,5.6522,6.2857,5.25,6.6944,7.7273,4.5714,8.4286,0.25,3.25,4,2.6667,3.75,3,1.8889,7.75,5.3333,5
283,"Grant-White",8,2,13,1,157,4.7143,5.5,5.6,1.75,4.5455,4.3333,6.25,5.8,3.7143,3.6522,4.2857,6.35,6.3889,5.6364,2.2857,6.7143,1,2.25,4.75,1.3333,3.75,2.8889,3.3333,7.5,5.6667,5.75
284,"Grant-White",8,2,12,11,155,5.4286,6.5,7.6,0.875,3.5455,5.3333,6.25,5.6,2.1429,4.7391,5.1429,5.55,5.5556,6.5455,4.1429,7.4286,2.75,3.75,5,2.5,4.5,0.8889,2.1111,8,6.3333,4.375
285,"Grant-White",8,2,13,2,158,4.7143,6.25,6.4,4.25,3.7273,5,5.75,6.2,3,4.7391,5.9286,7.15,6.8333,6.3636,3.2857,7.5714,4,5,5,1.5,5,3.6667,2.4444,8.25,4.6667,5.625
286,"Grant-White",8,1,13,6,162,5.1429,7.25,6.8,2,5,3,5.75,5.8,3.2857,6.4783,6.5714,7.8,6.8611,6.5455,3,7.1429,2.75,3.75,4.75,2.6667,5,3.2222,3.8889,7.75,5.3333,4.125
287,"Grant-White",8,1,13,9,165,5.4286,7.25,4.8,4.375,5,4.3333,5.5,5.4,2.4286,4.8696,5.5714,6.3,6.3056,6.1818,6.7143,7.5714,2.75,4,4,3.1667,5.75,5.3333,1.6667,7.5,4.6667,6
288,"Grant-White",8,2,13,2,158,4.4286,6.25,4,3.5,4.9091,3.3333,6.25,6.8,3.8571,4.4783,4.5714,4.9,4.6667,5,3.7143,6.8571,2.75,1.75,3.5,1.6667,4.75,3.1111,2.6667,6.25,4.6667,6
289,"Grant-White",8,2,13,1,157,5.1429,7,6.8,1.625,4.3636,3.6667,5.75,7.2,2.5714,5.8261,6.7857,5.1,6.2222,5.2727,4.1429,6.8571,3.25,4.75,5,1.3333,5.75,4.7778,2.4444,7.75,6,5.75
290,"Grant-White",8,1,13,8,164,4.4286,6.5,6.4,3.625,5.2727,3.6667,6.5,7.4,1.7143,3.6957,5.2857,4.95,5.25,8,5.8571,7.7143,1.75,3.75,4.25,2.3333,4.5,4.2222,2.6667,7.5,6.6667,4.75
291,"Grant-White",8,2,14,2,170,4,6,5.6,0.75,4,2.6667,4.25,6.6,2.1429,4,6.0714,4.75,5.9722,7,3.7143,7.4286,2.25,2.75,4.25,1.3889,4,3.4444,2.1111,8,5,3.875
292,"Grant-White",8,1,13,8,164,5.4286,9.25,6,3.5,5.5455,3.3333,4.75,6.6,2.7143,4.7826,6.0714,6.75,5.5278,5.0909,2.7143,5.5714,0,4.75,4,2.1667,4.75,4.4444,3.1111,7.5,6.6667,5.75
293,"Grant-White",8,1,13,6,162,4.1429,8.5,5.6,2.75,4.3636,3.3333,5,4.4,2.7143,3.6522,3.7857,6.6,4.0833,6.7273,5,5.4286,1.25,2.75,3.25,2.2778,3.5,3,2.6667,7,4.6667,4.375
294,"Grant-White",8,1,13,7,163,5,6,6.4,1.875,5.4545,4,5,6,3.2857,4,6.4286,6.25,6.4444,7.8182,2.8571,7.1429,2.75,2.25,4.5,3,5.5,4.5556,2.2222,7.25,5.6667,4.125
295,"Grant-White",8,2,13,3,159,5,6.25,7.2,3.125,4.5455,3.6667,6,6.2,2.7143,5.7391,4.9286,5.9,5.1944,5.2727,3.1429,7.2857,0.5,2.75,4.5,0.8333,4.5,3,2.2222,5.5,5.3333,5
296,"Grant-White",8,2,12,10,154,3.2857,5.25,5.2,0.375,4.9091,3,5.25,4.8,1.7143,5.7826,4.6429,5.55,6.5278,6.5455,3.8571,6.5714,3,2.75,5,1.3333,4,2.2222,1.6667,7.25,4.3333,3.125
297,"Grant-White",8,2,13,5,161,4.4286,7,5.6,3.125,4.6364,4,5.75,6.4,2.1429,6.0435,6.5,5.5,5.5278,5.9091,4.4286,7.4286,2,3.5,4.5,1.6667,2.75,3.3333,0.6667,6.5,5,5.625
298,"Grant-White",8,1,14,6,174,7.2857,6.5,9.2,4.25,7.6364,6,6.5,8.6,5.4286,5.7826,7.8571,8.05,6.9167,7.7273,7,9,3.75,5,5,3.9444,6,5.5556,4.4444,8,6,6
299,"Grant-White",8,2,14,9,177,4.7143,7,5.6,2.25,5.4545,5,5.75,5.8,4.2857,4.1739,6.3571,6.1,5.8889,6.1818,3.2857,6.5714,1.75,1.5,4.25,1.1667,3.75,3.2222,3.4444,7.5,6,5
300,"Grant-White",8,2,15,11,191,3,6.5,5.2,2.125,5.8182,4,4,4.6,4.7143,5.1304,4.9286,5.6,3.6667,6.3636,3.2857,6.4286,2,3.25,3,1.8889,3,2.6667,2.5556,7,5,4.5
302,"Grant-White",8,2,13,9,165,5.2857,8,6.8,1.375,6.5455,5.3333,6.25,5.6,4.5714,3.4783,6,4.75,4.75,7,5.8571,8.8571,3.5,4.5,4.25,4.3333,4,5.5556,3,8.25,5,5.625
303,"Grant-White",8,1,13,1,157,5.2857,5,6,2.625,3.2727,2.6667,4.75,6.6,2.7143,3.3913,3.2143,5.05,4.9722,5.8182,3.2857,8.1429,1.25,3.25,4.25,2.2222,5.25,2.6667,0.8889,6,4.6667,5.75
304,"Grant-White",8,1,13,9,165,5.2857,6.5,8,3.625,3.9091,2.3333,4.75,4.6,2.7143,4.4348,5.5,5.65,5.8333,6.1818,3,6.8571,1.25,3,2.75,1.5556,5.75,3,2.5556,7,2.6667,3.625
305,"Grant-White",8,1,13,7,163,5.5714,6.5,6,3,7.0909,5.6667,6.5,7,4.2857,5,7.2143,6.8,7.3889,7.2727,5.4286,9,1.5,1,2,3,2.75,3.8889,3.2222,8,6,4.375
306,"Grant-White",8,2,13,0,156,5.5714,8.5,6.8,4.125,4.0909,3.3333,4.75,5.2,2.2857,4.1304,5.3571,5.95,6.6667,5.6364,4.4286,7.8571,1.75,4,4,1.6667,5.5,3.8889,3.6667,7,6,4.625
307,"Grant-White",8,2,13,8,164,2.5714,4,2.4,0.5,5,3.3333,5.25,5.8,2.7143,2.9565,3,4,3.4722,7.6364,3.5714,6.7143,3.75,3,3.5,0.8333,0.75,2,0.5556,6.25,3.3333,1.875
308,"Grant-White",8,2,12,9,153,4,7,5.6,2.25,4.5455,3.3333,6.25,7.4,3.2857,3.7826,4.2857,4.65,4.7222,6.0909,3.5714,6.8571,4.75,3.25,4.75,1.5556,3.75,2.5556,1.4444,6,6.6667,5.625
309,"Grant-White",8,1,14,10,178,4.1429,5.75,6.4,1.125,3.4545,2,6,5.4,1.2857,4.3478,4.5,9.1,6.3056,5.3636,3.5714,5.8571,1.5,2.5,3.5,1.8333,4.75,4.2222,2.7778,6.75,5.6667,3.75
310,"Grant-White",8,2,13,5,161,3.5714,5,5.6,1.375,4.6364,4,4.75,6.6,2.4286,4.8261,4.7143,6.25,5.7222,7.6364,5.7143,6.5714,2.75,4.25,4.75,1.8333,5,3.8889,1.5556,7.25,5.6667,4.875
311,"Grant-White",8,1,13,4,160,4.1429,8.25,6.4,1.375,5.1818,4.3333,5.75,6.2,3.7143,3.3913,4.3571,5.15,5.5,5.7273,2.2857,7.2857,1.75,2.25,3.25,3.4444,3.25,3.7778,2.1111,6.5,7,5.25
312,"Grant-White",8,2,13,6,162,4.5714,5.25,6.4,1.875,5,4.6667,5,5.6,4.1429,5.087,5.1429,5.4,6.5833,5.5455,4.1429,7.4286,1.5,3.25,4.5,2.5,3.25,2,2.6667,7.75,5,5
313,"Grant-White",8,1,13,6,162,4.2857,5.25,5.6,2.625,4.6364,4,6,6.6,3.8571,4.1739,4.9286,5.65,5.7222,6.6364,4.7143,7.2857,3.75,2.75,5,4.6667,3.5,5.5556,3,8.75,6.6667,4.375
314,"Grant-White",8,2,13,5,161,5,7,5.6,2.375,5.3636,6,6.75,6.8,4.7143,6.3043,6.4286,5.85,6.2778,6.9091,4.8571,6.2857,2.25,2,5,3.8889,5.75,4.8889,4.3333,8.25,5,5.5
315,"Grant-White",8,1,12,1,145,2.2857,8.5,5.2,4,5.4545,4.6667,5.5,5.8,3.4286,4.3043,4.1429,5.4,5.9722,7.0909,2.2857,6.4286,1.25,2.75,2.5,2.6667,5.25,3,1.8889,8,5.3333,4.625
316,"Grant-White",8,2,13,5,161,5.4286,7.5,7.6,4.125,6,4.6667,5.5,7.2,4.1429,4.2174,6.5,6,7,7.4545,4.7143,6.5714,1.75,2.75,4.25,0.8333,4.75,4.7778,4,7.5,5.6667,4.125
317,"Grant-White",8,2,13,2,158,3.7143,6.25,4.8,0.875,3.7273,3.3333,3.75,5,1.8571,5,5.5714,6.45,5.0833,4.3636,4.5714,8.1429,2.25,3.25,5,0.8333,4.25,2,1.1111,6.5,4.3333,3.125
318,"Grant-White",8,2,13,7,163,4.7143,7,4,1.5,3.3636,4.6667,5.25,6.6,2,4.6087,6.2857,5.3,5.1944,5.7273,5.2857,7.5714,2,3,5,1.1667,4,3.8889,1.6667,6.75,3.3333,4.625
320,"Grant-White",8,1,15,3,183,4,6.75,8,4,4.3636,3.3333,4.75,6,2.4286,3,3.5,6.5,5.5,6.2727,4.5714,7,0.75,1.25,3.5,2.3333,3,2.4444,3.3333,4.75,4,5.75
321,"Grant-White",8,2,13,3,159,3.8571,5.5,5.2,2,4.1818,2.6667,4.75,6.6,2.1429,5.8696,5.3571,7.1,6.25,6,3.7143,6.7143,2.25,1,2.75,1.8333,4,2.1111,2.5556,6.5,5.6667,5.75
322,"Grant-White",8,2,14,4,172,3.7143,7.25,6.8,1.25,4.8182,2.6667,4.75,5.8,1.8571,3.6957,6.5,5.45,6.1111,6.4545,3.2857,7.5714,1.75,3,3.5,2.5,3.75,2.8889,1.1111,6.25,6.3333,3.375
323,"Grant-White",8,1,14,7,175,4.2857,8,3.6,3.25,4,2.3333,3.75,6.8,1.4286,4.7391,4.3571,7,4.9444,6.7273,4.4286,6.7143,2,2,5,2.8333,4.5,3,2.2222,7.25,5,6
324,"Grant-White",8,1,13,3,159,3.1429,5.75,6.8,1,3.6364,1.3333,3.25,5,2.4286,4,3.8571,4.05,4.1667,5.8182,3.4286,6.5714,1.5,0.75,4.75,-1,3,0.8889,0.5556,6,3.6667,2.25
325,"Grant-White",8,1,13,8,164,4.5714,6,4.8,1,4.7273,3,4.75,5.8,2,3.3913,5.5,4.45,5.3056,7,3.2857,5.4286,1,1.5,3.5,1.3333,3,3.3333,2.3333,4.5,5.6667,5
326,"Grant-White",8,1,14,6,174,4.4286,5.75,4.8,1.625,3.3636,4,4.75,4.2,2.1429,3.5652,6,5.4,5.0556,6.3636,3.8571,7.4286,1,3,3.75,2.2222,3,3.1111,0.3333,6.75,5.6667,3.25
327,"Grant-White",8,1,14,9,177,4.5714,6.25,5.2,2.125,3.8182,1.6667,2.75,4.6,2.2857,4.6087,4.1429,7.15,5.5556,5.2727,3.4286,7.2857,1,2.5,4.25,0.3333,3.75,3.3333,1.4444,7.25,4.3333,5.625
328,"Grant-White",8,1,16,4,196,5.7143,5.25,6,1.875,3.5455,2.6667,4.5,4.8,1.8571,3.6522,4.7857,6.3,5.9722,6.3636,6.8571,6.2857,2.5,4.25,2.5,1.5556,3.5,2.4444,0.1111,6.5,5.3333,5.875
329,"Grant-White",8,1,12,11,155,3,5,6,1.375,3.2727,2.3333,4.75,5.6,1.1429,3.4783,4.9286,5.85,6.5278,6.3636,1.5714,6.4286,1.5,0.5,3.5,1.6667,5.25,2,1.6667,5.75,5.3333,5.875
330,"Grant-White",8,1,13,1,157,4.4286,6.25,6,3.25,5.2727,5,6,6.8,3.2857,2.3913,3.7143,4,4.2778,5.5455,3.1429,6.5714,1,1.5,3.5,2.7778,3.5,3.5556,1.6667,5.5,5.6667,5.125
331,"Grant-White",8,2,14,1,169,3.4286,6,5.6,2,4,2.6667,4.5,4.4,1.7143,3.3478,5.2857,4.7,3.75,5.9091,4,6.8571,2,2,4.5,0.8889,3.75,3.8889,0.6667,7.25,3.6667,5.75
333,"Grant-White",8,1,14,3,171,5.8571,6.25,8,1.875,3.8182,4,5.25,6.4,2.7143,2.7826,4.8571,4.7,5.25,6.0909,2.2857,7,0.5,1.25,2.75,0.1667,2.25,1,0.7778,5,6.3333,5.5
334,"Grant-White",8,2,14,9,177,4.2857,5.75,4.4,1.25,3.8182,2.6667,3.5,6,1.7143,4.2609,4.6429,6.6,6.6667,5,4.1429,5.8571,2.5,3,4.5,0.8889,2.25,1.8889,2.4444,6.25,6,3
335,"Grant-White",8,1,16,1,193,5,5,5.6,2,5,3.3333,4,5.2,1.4286,3.4783,5.5714,5.25,5.6944,5.5455,3.1429,6.5714,1.25,0.75,3.25,0.8333,4.25,2.7778,2.6667,6.75,5.3333,4.625
336,"Grant-White",8,1,13,5,161,4.8571,6.75,5.6,2.125,4.3636,4.3333,6.25,6.6,4.5714,3.3478,5.1429,5.95,5.4167,5.4545,3.7143,8.2857,2.75,1.75,4,3.3333,5.25,4.3333,3.7778,6,5.3333,4.625
337,"Grant-White",8,1,14,3,171,3.5714,5.5,5.2,1.625,3.9091,2.3333,4,5,1.5714,5.8696,4.3571,6.3,5.6667,4.4545,1.8571,5.8571,0,0.75,2.5,0.1667,4.5,1.1111,0.5556,5.25,4,3.125
338,"Grant-White",8,2,13,1,157,3.4286,6.25,7.2,0.75,3.8182,3,4.75,6.2,3.2857,5.2174,6.9286,6.55,5.7222,7.6364,5.1429,8.1429,6.5,4,4.75,1.3333,0.5,4.1111,2.1111,7,6,5.5
339,"Grant-White",8,1,14,4,172,5.1429,6.5,7.2,2.125,4.8182,3.3333,4.75,5.2,1.4286,2.4348,3.2857,5.75,5,5.8182,5.1429,6,2.5,1.75,3,1.6667,2.75,1.5556,1.3333,5,7.3333,4.75
340,"Grant-White",8,1,15,6,186,2.8571,4.75,7.6,0.875,3.3636,2.6667,5,5.6,0.8571,5.8261,3.2143,5.5,6.7778,7.1818,4.1429,5.4286,2.25,2.25,3.75,0.3889,3,1.4444,0.7778,6.5,5,5.125
341,"Grant-White",8,1,14,11,179,4,6,4.8,1.125,2.8182,1.3333,3,5.4,1.5714,4.1739,5.1429,5.75,4.8333,5.6364,3.1429,7,1.75,2,4.5,1.8333,5.25,5.1111,2.5556,7.25,5.6667,4.25
342,"Grant-White",8,2,12,11,155,4.8571,5.5,3.2,1.625,4,3.3333,4.25,5,2,5.4783,4.5,6,4.5,4.9091,2.7143,5.7143,2.25,1.25,3.5,0.1667,0.5,3.2222,2.5556,8.25,5,3.625
343,"Grant-White",8,1,14,3,171,4.8571,5.25,6.8,2.375,4.6364,3.3333,4.5,5.6,2,3.3913,4.4286,5.15,6.3333,5.7273,5.1429,6.8571,0.25,2,3.5,1.3333,3.5,4.3333,1.2222,4.75,6.3333,3.5
344,"Grant-White",8,2,13,0,156,5,7,5.2,1.25,4.0909,3,3.25,5.2,1.5714,4.1739,4.5,4.85,5.7778,7.1818,4.7143,8.4286,2.5,3.75,4.5,2.3889,5,4.3333,3,5,5.6667,4.5
345,"Grant-White",8,1,13,3,159,5.2857,6.5,6,3,4.4545,3,4.25,6.2,2.8571,3.0435,4.1429,4.25,5.6667,7.1818,4.1429,8,1.75,2.25,4.5,2.1667,3,2.7778,1.8889,6.25,5,5.25
346,"Grant-White",8,1,13,5,161,3.4286,7,7.2,1.375,4.4545,2.6667,4.25,5.4,1,5.087,4.1429,5.6,5.25,5.0909,1.7143,6.5714,0.25,1,2,0.5,3,3.5556,1.3333,5,5.3333,4.5
347,"Grant-White",8,2,14,10,178,2.5714,6,5.6,1.625,2.8182,2.3333,4,4.6,1,4.6087,3.8571,6.05,6.0833,4.7273,3.4286,6.8571,0.5,0.75,3.5,1.5556,3.75,1.8889,0.8889,5.25,4.6667,5.125
348,"Grant-White",8,2,14,3,171,4,5.5,6.4,1.875,5,3.6667,5.75,6.4,4.2857,4,8.4286,6,7.6111,5.5455,4.1429,7,1.75,4,4.25,1.6667,5,3.1111,2,7.5,5.3333,4
349,"Grant-White",8,1,14,2,170,3.7143,6.75,5.6,0.5,4.3636,3.6667,4.5,6.6,2,5.087,3.5,6.2,4.3889,6.4545,3.4286,6.5714,2.25,1,3.25,0.5556,3.75,1.1111,2.2222,6.75,6,1.75
351,"Grant-White",8,1,13,5,161,3.7143,6,6.4,3.375,4.6364,3.6667,5.75,7.8,3.1429,4.087,6.2143,6.95,5.1667,6.7273,3.8571,7.5714,6.25,4,3.5,3.8333,3.5,4.3333,3.4444,7.25,5.3333,5.625
